"id","tag1","tag2","tag3"
1,"none","",""
2,"testing","",""
3,"complexity","",""
4,"none","",""
5,"importance","",""
6,"mergability","",""
7,"none","",""
8,"reviewer availability","",""
9,"impact","",""
10,"none","",""
11,"complexity","",""
12,"reviewer availability","",""
13,"none","",""
14,"none","",""
15,"commit quality","code style",""
16,"workload","importance",""
17,"none","",""
18,"none","",""
19,"importance","",""
20,"none","",""
21,"mergability","",""
22,"reviewed","discussion",""
23,"none","",""
24,"none","",""
25,"none","",""
26,"none","",""
27,"none","",""
28,"documentation","",""
29,"none","",""
30,"none","",""
31,"technical quality","",""
32,"responsiveness","",""
33,"none","",""
34,"none","",""
35,"complexity","reviewer availability",""
36,"none","",""
37,"none","",""
38,"reviewer availability","",""
39,"none","",""
40,"responsiveness","",""
41,"importance","",""
42,"none","",""
43,"reviewer availability","",""
44,"none","",""
45,"none","",""
46,"none","",""
47,"commit quality","",""
48,"documentation","code style",""
49,"none","",""
50,"none","",""
51,"none","",""
52,"none","",""
53,"none","",""
54,"discussion","",""
55,"none","",""
56,"workload","",""
57,"none","",""
58,"none","",""
59,"none","",""
60,"none","",""
61,"none","",""
62,"reviewer availability","responsiveness",""
63,"none","",""
64,"none","",""
65,"reviewer availability","",""
66,"code style","",""
67,"none","",""
68,"reviewer availability","",""
69,"none","",""
70,"reviewer availability","",""
71,"none","",""
72,"reviewer availability","",""
73,"complexity","",""
74,"none","",""
75,"mergability","",""
76,"none","",""
77,"code style","code quality",""
78,"none","",""
79,"importance","commit quality","project conventions"
80,"none","",""
81,"discussion","",""
82,"contrib track record","",""
83,"reviewer availability","complexity",""
84,"complexity","code quality","responsiveness"
85,"code quality","",""
86,"age","project scheduling",""
87,"none","",""
88,"project scheduling","",""
89,"responsiveness","reviewer availability",""
90,"none","",""
91,"none","",""
92,"hotness","",""
93,"none","",""
94,"none","",""
95,"none","",""
96,"importance","",""
97,"reviewer availability","",""
98,"none","",""
99,"none","",""
100,"none","",""
101,"reviewed","",""
102,"importance","",""
103,"none","",""
104,"none","",""
105,"none","",""
106,"reviewer availability","",""
107,"none","",""
108,"none","",""
109,"complexity","",""
110,"none","",""
111,"none","",""
112,"none","",""
113,"none","",""
114,"complexity","",""
115,"none","",""
116,"none","",""
117,"code style","",""
118,"importance","",""
119,"none","",""
120,"contrib track record","",""
121,"reviewer availability","",""
122,"none","",""
123,"none","",""
124,"none","",""
125,"none","",""
126,"reviewer availability","",""
127,"mergability","",""
128,"none","",""
129,"responsiveness","mergability",""
130,"none","",""
131,"complexity","",""
132,"none","",""
133,"none","",""
134,"reviewer availability","",""
135,"responsiveness","",""
136,"none","",""
137,"mergability","",""
138,"none","",""
139,"code quality","",""
140,"none","",""
141,"none","",""
142,"importance","",""
143,"reviewer availability","responsiveness","age"
144,"complexity","importance",""
145,"code style","impact",""
146,"none","",""
147,"none","",""
148,"none","",""
149,"none","",""
150,"none","",""
151,"none","",""
152,"impact","",""
153,"none","",""
154,"reviewer availability","",""
155,"complexity","mergability",""
156,"hotness","",""
157,"none","",""
158,"none","",""
159,"none","",""
160,"none","",""
161,"impact","",""
162,"none","",""
163,"commit quality","code style",""
164,"reviewed","code style","contrib track record"
165,"reviewer availability","",""
166,"none","",""
167,"none","",""
168,"none","",""
169,"none","",""
170,"none","",""
171,"tz","",""
172,"none","",""
173,"none","",""
174,"none","",""
175,"reviewer availability","",""
176,"workload","",""
177,"testing","",""
178,"code quality","",""
179,"testing","",""
180,"discussion","",""
181,"none","",""
182,"none","",""
183,"none","",""
184,"reviewer availability","",""
185,"complexity","",""
186,"reviewed","responsiveness",""
187,"none","",""
188,"reviewer availability","project scheduling",""
189,"complexity","",""
190,"none","",""
191,"none","",""
192,"complexity","code quality","documentation"
193,"none","",""
194,"reviewer availability","responsiveness",""
195,"project scheduling","",""
196,"none","",""
197,"none","",""
198,"project scheduling","",""
199,"none","",""
200,"complexity","",""
201,"none","",""
202,"complexity","",""
203,"project scheduling","",""
204,"none","",""
205,"none","",""
206,"discussion","",""
207,"none","",""
208,"discussion","",""
209,"none","",""
210,"complexity","documentation","testing"
211,"none","",""
212,"reviewer availability","",""
213,"none","",""
214,"none","",""
215,"none","",""
216,"none","",""
217,"none","",""
218,"complexity","",""
219,"reviewer availability","discussion","responsiveness"
220,"none","",""
221,"reviewer availability","",""
222,"complexity","",""
223,"none","",""
224,"none","",""
225,"complexity","",""
226,"none","",""
227,"none","",""
228,"none","",""
229,"responsiveness","",""
230,"hotness","",""
231,"responsiveness","hotness",""
232,"none","",""
233,"reviewer availability","",""
234,"code quality","",""
235,"discussion","",""
236,"none","",""
237,"project scheduling","",""
238,"reviewer availability","",""
239,"testing","reviewed",""
240,"none","",""
241,"none","",""
