"X","tag1","tag2","tag3"
1,"urgency of feature","reviewer availability",""
2,"no prioritization","",""
3,"complexity","criticality of fix","contributor origin"
4,"relevance to project","",""
5,"quality","type",""
6,"size of change","",""
7,"age","reviewer familiarity",""
8,"size of change","test result","contributor track record"
9,"impact","project roadmap",""
10,"no prioritization","",""
11,"complexity","",""
12,"complexity","reviewer availability",""
13,"no prioritization","",""
14,"no prioritization","",""
15,"criticality of fix","",""
16,"complexity","criticality of fix","test result"
17,"age","",""
18,"criticality of fix","",""
19,"quality","complexity",""
20,"no prioritization","",""
21,"age","",""
22,"impact","criticality of fix","project roadmap"
23,"impact","size of change",""
24,"","",""
25,"criticality of fix","",""
26,"complexity","",""
27,"no prioritization","",""
28,"age","criticality of fix",""
29,"contributor track record","",""
30,"backward compatibility","test result",""
31,"no prioritization","",""
32,"no prioritization","",""
33,"relevance to project","",""
34,"adherence to process","",""
35,"no prioritization","",""
36,"no prioritization","",""
37,"type","",""
38,"no prioritization","",""
39,"age","",""
40,"contributor track record","",""
41,"easy ones first","type","reviewer familiarity"
42,"age","",""
43,"","",""
44,"age","",""
45,"no prioritization","",""
46,"no prioritization","",""
47,"size of change","impact","criticality of fix"
48,"backward compatibility","review cycle",""
49,"complexity","",""
50,"type","urgency of feature",""
51,"impact","merge conflicts",""
52,"type","age",""
53,"size of change","contributor track record",""
54,"age","size of change",""
55,"complexity","impact","size of change"
56,"no prioritization","",""
57,"size of change","",""
58,"no prioritization","",""
59,"age","",""
60,"urgency of feature","type",""
61,"type","relevance to project",""
62,"contributor responsiveness","type","reviewer availability"
63,"age","",""
64,"contributor track record","",""
65,"impact","size of change",""
66,"contributor responsiveness","",""
67,"no prioritization","",""
68,"urgency of feature","size of change",""
69,"no prioritization","",""
70,"quality","",""
71,"merge conflicts","type",""
72,"criticality of fix","project roadmap",""
73,"age","",""
74,"type","",""
75,"urgency of feature","dependencies",""
76,"type","",""
77,"no prioritization","",""
78,"project roadmap","",""
79,"no prioritization","",""
80,"complexity","",""
81,"criticality of fix","urgency of feature",""
82,"contributor track record","",""
83,"no prioritization","",""
84,"complexity","",""
85,"age","quality","size of change"
86,"criticality of fix","",""
87,"no prioritization","",""
88,"no prioritization","",""
89,"complexity","",""
90,"","",""
91,"age","complexity","reviewer familiarity"
92,"urgency of feature","size of change",""
93,"complexity","size of change","relevance to project"
94,"merge conflicts","dependencies",""
95,"criticality of fix","",""
96,"no prioritization","",""
97,"no prioritization","",""
98,"criticality of fix","age","project roadmap"
99,"no prioritization","",""
100,"project roadmap","test result",""
101,"quality","",""
102,"type","project roadmap",""
103,"no prioritization","",""
104,"age","dependencies",""
105,"project roadmap","",""
106,"contributor origin","age","complexity"
107,"no prioritization","",""
108,"type","",""
109,"merge conflicts","",""
110,"size of change","",""
111,"quality","",""
112,"age","",""
113,"type","size of change",""
114,"reviewer availability","age",""
115,"project roadmap","",""
116,"no prioritization","",""
117,"age","",""
118,"no prioritization","",""
119,"merge conflicts","age",""
120,"review cycle","",""
121,"criticality of fix","complexity",""
122,"no prioritization","",""
123,"impact","",""
124,"review cycle","",""
125,"existence of tests","size of change","type"
126,"no prioritization","",""
127,"urgency of feature","",""
128,"criticality of fix","size of change",""
129,"criticality of fix","contributor track record","urgency of feature"
130,"reviewer familiarity","",""
131,"criticality of fix","",""
132,"project roadmap","",""
133,"criticality of fix","",""
134,"no prioritization","",""
135,"urgency of feature","quality",""
136,"criticality of fix","type",""
137,"size of change","existence of tests",""
138,"no prioritization","",""
139,"type","",""
140,"no prioritization","",""
141,"size of change","contributor track record",""
142,"criticality of fix","contributor origin",""
143,"size of change","type",""
144,"no prioritization","",""
145,"test result","",""
146,"project roadmap","",""
147,"criticality of fix","",""
148,"project roadmap","",""
149,"no prioritization","",""
150,"urgency of feature","criticality of fix",""
151,"merge conflicts","review cycle","impact"
152,"criticality of fix","complexity","reviewer familiarity"
153,"impact","",""
154,"criticality of fix","complexity",""
155,"no prioritization","",""
156,"review cycle","criticality of fix","size of change"
157,"no prioritization","",""
158,"complexity","",""
159,"criticality of fix","review cycle",""
160,"size of change","contributor origin","type"
161,"project roadmap","contributor origin","type"
162,"type","",""
163,"reviewer familiarity","",""
164,"age","contributor track record","reviewer availability"
165,"urgency of feature","criticality of fix","quality"
166,"impact","",""
167,"no prioritization","",""
168,"no prioritization","",""
169,"age","",""
170,"no prioritization","",""
171,"dependencies","urgency of feature","size of change"
172,"no prioritization","",""
173,"no prioritization","",""
174,"no prioritization","",""
175,"no prioritization","",""
176,"criticality of fix","",""
177,"criticality of fix","urgency of feature",""
178,"no prioritization","",""
179,"size of change","",""
180,"size of change","urgency of feature","impact"
181,"urgency of feature","quality",""
182,"urgency of feature","size of change","contributor responsiveness"
183,"contributor origin","size of change","criticality of fix"
184,"no prioritization","",""
185,"age","reviewer familiarity","impact"
186,"relevance to project","",""
187,"age","",""
188,"type","",""
189,"","",""
190,"no prioritization","",""
191,"merge conflicts","urgency of feature",""
192,"review cycle","",""
193,"age","",""
194,"complexity","project roadmap","reviewer familiarity"
195,"impact","existence of tests",""
196,"criticality of fix","",""
197,"project roadmap","",""
198,"criticality of fix","urgency of feature",""
199,"criticality of fix","",""
200,"dependencies","",""
201,"complexity","age",""
202,"age","",""
203,"type","complexity",""
204,"age","dependencies","review cycle"
205,"size of change","criticality of fix",""
206,"no prioritization","",""
207,"type","",""
208,"criticality of fix","urgency of feature",""
209,"no prioritization","",""
210,"complexity","test result","size of change"
211,"no prioritization","",""
212,"size of change","impact",""
213,"contributor responsiveness","",""
214,"criticality of fix","existence of tests",""
215,"size of change","",""
216,"age","",""
217,"reviewer availability","criticality of fix","urgency of feature"
218,"no prioritization","",""
219,"age","",""
220,"relevance to project","quality","existence of tests"
221,"urgency of feature","criticality of fix",""
222,"urgency of feature","complexity","impact"
223,"no prioritization","",""
224,"merge conflicts","",""
225,"size of change","",""
226,"complexity","contributor origin","criticality of fix"
227,"reviewer availability","impact",""
228,"criticality of fix","size of change",""
229,"reviewer availability","",""
230,"relevance to project","size of change","impact"
231,"age","",""
232,"reviewer availability","",""
233,"complexity","reviewer availability",""
234,"type","",""
235,"age","",""
236,"review cycle","merge conflicts",""
237,"no prioritization","",""
238,"complexity","impact",""
239,"merge conflicts","",""
240,"no prioritization","",""
241,"reviewer availability","",""
242,"criticality of fix","size of change",""
243,"no prioritization","",""
244,"size of change","",""
245,"contributor track record","complexity","criticality of fix"
246,"type","age",""
247,"complexity","quality",""
248,"reviewer availability","",""
249,"age","",""
250,"criticality of fix","",""
251,"reviewer familiarity","contributor track record",""
252,"size of change","contributor track record","review cycle"
253,"project roadmap","",""
254,"criticality of fix","",""
255,"type","",""
256,"no prioritization","",""
257,"no prioritization","",""
258,"criticality of fix","",""
259,"merge conflicts","",""
260,"age","",""
261,"contributor track record","",""
262,"criticality of fix","urgency of feature",""
263,"criticality of fix","quality",""
264,"adherence to process","",""
265,"review cycle","",""
266,"no prioritization","",""
267,"criticality of fix","urgency of feature","merge conflicts"
268,"no prioritization","",""
269,"age","",""
270,"contributor track record","criticality of fix",""
271,"review cycle","criticality of fix",""
272,"criticality of fix","",""
273,"reviewer familiarity","",""
274,"age","",""
275,"complexity","",""
276,"size of change","criticality of fix","existence of tests"
277,"contributor track record","merge conflicts",""
278,"age","",""
279,"age","",""
280,"no prioritization","",""
281,"no prioritization","",""
282,"no prioritization","",""
283,"no prioritization","",""
284,"urgency of feature","",""
285,"criticality of fix","urgency of feature",""
286,"urgency of feature","",""
287,"age","",""
288,"age","",""
289,"complexity","criticality of fix",""
290,"age","",""
291,"no prioritization","",""
292,"reviewer availability","",""
293,"criticality of fix","merge conflicts",""
294,"no prioritization","",""
295,"impact","",""
296,"complexity","urgency of feature",""
297,"no prioritization","",""
298,"type","impact",""
299,"reviewer availability","",""
300,"type","size of change",""
301,"no prioritization","",""
302,"project roadmap","",""
303,"size of change","contributor track record",""
304,"type","",""
305,"no prioritization","",""
306,"reviewer availability","reviewer familiarity",""
307,"no prioritization","",""
308,"criticality of fix","",""
309,"age","",""
310,"contributor responsiveness","size of change","test result"
311,"contributor track record","existence of tests","size of change"
312,"complexity","",""
313,"complexity","criticality of fix",""
314,"no prioritization","",""
315,"complexity","",""
316,"age","complexity",""
317,"criticality of fix","urgency of feature",""
318,"no prioritization","",""
319,"age","urgency of feature",""
320,"urgency of feature","",""
321,"urgency of feature","",""
322,"urgency of feature","existence of tests",""
323,"age","",""
324,"project roadmap","merge conflicts",""
325,"reviewer availability","size of change",""
326,"dependencies","project roadmap",""
327,"urgency of feature","reviewer availability",""
328,"reviewer availability","",""
329,"existence of tests","size of change",""
330,"contributor track record","complexity","type"
331,"reviewer familiarity","",""
332,"urgency of feature","",""
333,"contributor track record","complexity",""
334,"no prioritization","",""
335,"no prioritization","",""
336,"no prioritization","",""
337,"reviewer familiarity","",""
338,"urgency of feature","criticality of fix","merge conflicts"
339,"urgency of feature","",""
340,"urgency of feature","",""
341,"urgency of feature","",""
342,"no prioritization","",""
343,"no prioritization","",""
344,"contributor track record","review cycle",""
345,"age","",""
346,"age","",""
347,"criticality of fix","size of change","impact"
348,"impact","",""
349,"size of change","criticality of fix",""
350,"size of change","complexity",""
351,"criticality of fix","",""
