"id","tag1","tag2","tag3"
1,"none","",""
2,"testing","",""
3,"testing","project conventions",""
4,"code quality","PR quality","project conventions"
5,"testing","granularity","technical fit"
6,"reviewed","",""
7,"works","documentation",""
8,"code style","testing",""
9,"code quality","",""
10,"none","",""
11,"code quality","",""
12,"code quality","technical fit",""
13,"project fit","",""
14,"none","",""
15,"granularity","",""
16,"feature importance","",""
17,"none","",""
18,"testing","",""
19,"feature importance","open issue",""
20,"none","",""
21,"code quality","code style","testing"
22,"none","",""
23,"none","",""
24,"none","",""
25,"testing","reviewed",""
26,"none","",""
27,"technical fit","",""
28,"code style","code quality","correctness"
29,"none","",""
30,"code quality","",""
31,"project fit","code quality",""
32,"code quality","project conventions","PR quality"
33,"none","",""
34,"works","PR quality",""
35,"code style","",""
36,"none","",""
37,"none","",""
38,"code style","code quality",""
39,"","",""
40,"code quality","",""
41,"code style","code quality",""
42,"code style","",""
43,"none","",""
44,"none","",""
45,"none","",""
46,"code style","documentation",""
47,"project fit","",""
48,"documentation","code style",""
49,"none","",""
50,"none","",""
51,"none","",""
52,"project fit","",""
53,"none","",""
54,"documentation","",""
55,"none","",""
56,"works","",""
57,"none","",""
58,"","",""
59,"project conventions","",""
60,"none","",""
61,"none","",""
62,"PR quality","",""
63,"none","",""
64,"none","",""
65,"code quality","",""
66,"","",""
67,"works","",""
68,"code quality","discussion",""
69,"none","",""
70,"mergability","",""
71,"documentation","project fit",""
72,"","",""
73,"documentation","",""
74,"none","",""
75,"testing","",""
76,"none","",""
77,"code style","code quality",""
78,"testing","",""
79,"mergability","project conventions",""
80,"code style","project fit",""
81,"project fit","",""
82,"code quality","code style",""
83,"code style","code quality","open issue"
84,"code quality","responsiveness",""
85,"none","",""
86,"testing","",""
87,"testing","code style",""
88,"project fit","",""
89,"code quality","",""
90,"none","",""
91,"documentation","code style",""
92,"contributor track record","testing","documentation"
93,"code quality","",""
94,"testing","project conventions",""
95,"none","",""
96,"technical fit","code style",""
97,"code quality","",""
98,"code style","documentation","project conventions"
99,"none","",""
100,"none","",""
101,"code quality","",""
102,"","",""
103,"none","",""
104,"project fit","granularity",""
105,"none","",""
106,"none","",""
107,"none","",""
108,"none","",""
109,"","",""
110,"documentation","",""
111,"code quality","",""
112,"none","",""
113,"none","",""
114,"project conventions","granularity",""
115,"none","",""
116,"code quality","project fit",""
117,"code style","",""
118,"code quality","",""
119,"code quality","",""
120,"project conventions","project fit",""
121,"feature importance","",""
122,"none","",""
123,"contributor track record","",""
124,"PR quality","",""
125,"none","",""
126,"works","project fit",""
127,"none","",""
128,"code quality","testing",""
129,"reviewed","testing","documentation"
130,"none","",""
131,"feature importance","granularity",""
132,"testing","technical fit",""
133,"responsiveness","",""
134,"discussion","contributor track record",""
135,"technical fit","",""
136,"none","",""
137,"code quality","mergability",""
138,"none","",""
139,"code quality","",""
140,"reviewed","testing",""
141,"none","",""
142,"technical fit","",""
143,"discussion","",""
144,"reviewed","code style","technical fit"
145,"feature importance","",""
146,"PR quality","",""
147,"reviewed","works",""
148,"none","",""
149,"none","",""
150,"feature importance","",""
151,"none","",""
152,"code quality","technical fit",""
153,"mergability","",""
154,"code quality","works",""
155,"granularity","",""
156,"reviewed","works",""
157,"none","",""
158,"none","",""
159,"technical fit","",""
160,"code style","",""
161,"project fit","responsiveness",""
162,"code quality","technical fit",""
163,"code style","documentation","PR quality"
164,"reviewed","code style","testing"
165,"code style","",""
166,"none","",""
167,"project fit","technical fit","documentation"
168,"code quality","project fit",""
169,"code style","",""
170,"technical fit","",""
171,"works","code style",""
172,"none","",""
173,"none","",""
174,"granularity","",""
175,"none","",""
176,"code quality","",""
177,"code quality","",""
178,"code quality","",""
179,"works","",""
180,"none","",""
181,"none","",""
182,"none","",""
183,"technical fit","",""
184,"code quality","",""
185,"code quality","feature importance",""
186,"PR quality","reviewed",""
187,"none","",""
188,"code quality","code style","testing"
189,"code style","",""
190,"none","",""
191,"none","",""
192,"reviewed","testing","works"
193,"none","",""
194,"project fit","code quality","feature importance"
195,"none","",""
196,"none","",""
197,"none","",""
198,"none","",""
199,"none","",""
200,"PR quality","granularity",""
201,"code quality","works",""
202,"none","",""
203,"contributor origin","",""
204,"works","",""
205,"none","",""
206,"code style","technical fit",""
207,"none","",""
208,"discussion","",""
209,"none","",""
210,"discussion","documentation","granularity"
211,"responsiveness","documentation",""
212,"none","",""
213,"code quality","",""
214,"project fit","",""
215,"none","",""
216,"none","",""
217,"none","",""
218,"code quality","testing",""
219,"code quality","",""
220,"code style","code quality",""
221,"accept all","",""
222,"none","",""
223,"code quality","",""
224,"none","",""
225,"none","",""
226,"project fit","",""
227,"none","",""
228,"testing","reviewed","documentation"
229,"code quality","testing","project fit"
